holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,month,weekday,hour
,290.46,0.0,0.0,40,Clouds,October,Friday,1
,289.26,0.0,0.0,0,Clear,October,Friday,3
,283.21,0.0,0.0,75,Clouds,October,Friday,5
,282.24,0.0,0.0,90,Clouds,October,Friday,6
,281.69,0.0,0.0,90,Clouds,October,Friday,7
,280.57,0.0,0.0,90,Clouds,October,Friday,8
,280.02,0.0,0.0,75,Clouds,October,Friday,9
,280.11,0.0,0.0,75,Clouds,October,Friday,10
,280.0,0.0,0.0,90,Clouds,October,Friday,11
,280.53,0.0,0.0,90,Clouds,October,Friday,12
,281.43,0.0,0.0,75,Clouds,October,Friday,13
,281.78,0.0,0.0,90,Clouds,October,Friday,14
,281.91,0.0,0.0,90,Clouds,October,Friday,15
,281.73,0.0,0.0,90,Clouds,October,Friday,16
,281.42,0.0,0.0,90,Clouds,October,Friday,17
,280.87,0.0,0.0,90,Clouds,October,Friday,18
,280.15,0.0,0.0,90,Clouds,October,Friday,19
,279.78,0.0,0.0,90,Clouds,October,Friday,20
,279.65,0.0,0.0,75,Clouds,October,Friday,21
,279.22,0.0,0.0,40,Clouds,October,Friday,22
,279.06,0.0,0.0,40,Clouds,October,Friday,23
,278.81,0.0,0.0,90,Clouds,October,Saturday,0
,278.55,0.0,0.0,90,Clouds,October,Saturday,1
,278.59,0.0,0.0,90,Clouds,October,Saturday,2
,276.99,0.0,0.0,75,Clouds,October,Saturday,4
,276.35,0.0,0.0,20,Clouds,October,Saturday,5
,275.4,0.0,0.0,1,Clear,October,Saturday,6
,275.17,0.0,0.0,1,Clear,October,Saturday,7
,274.99,0.0,0.0,1,Clear,October,Saturday,8
,275.09,0.0,0.0,40,Clouds,October,Saturday,9
,276.88,0.0,0.0,20,Clouds,October,Saturday,10
,278.04,0.0,0.0,20,Clouds,October,Saturday,11
,279.08,0.0,0.0,40,Clouds,October,Saturday,12
,280.12,0.0,0.0,75,Clouds,October,Saturday,13
,280.25,0.0,0.0,75,Clouds,October,Saturday,14
,280.0,0.0,0.0,75,Clouds,October,Saturday,15
,279.06,0.0,0.0,90,Clouds,October,Saturday,16
,278.91,0.0,0.0,90,Clouds,October,Saturday,17
,278.39,0.0,0.0,90,Clouds,October,Saturday,18
,278.16,0.0,0.0,90,Clouds,October,Saturday,19
,278.16,0.0,0.0,90,Clouds,October,Saturday,20
,277.93,0.0,0.0,90,Clouds,October,Saturday,21
,276.9,0.0,0.0,90,Clouds,October,Saturday,22
,276.34,0.0,0.0,75,Clouds,October,Saturday,23
,276.11,0.0,0.0,75,Clouds,October,Sunday,0
,275.73,0.0,0.0,90,Clouds,October,Sunday,3
,275.65,0.0,0.0,90,Clouds,October,Sunday,4
,275.51,0.0,0.0,75,Clouds,October,Sunday,5
,275.05,0.0,0.0,90,Clouds,October,Sunday,6
,274.77,0.0,0.0,90,Clouds,October,Sunday,7
,274.77,0.0,0.0,75,Clouds,October,Sunday,8
,275.55,0.0,0.0,75,Clouds,October,Sunday,9
,276.24,0.0,0.0,75,Clouds,October,Sunday,10
,277.01,0.0,0.0,90,Clouds,October,Sunday,11
,277.43,0.0,0.0,90,Clouds,October,Sunday,12
,278.45,0.0,0.0,90,Clouds,October,Sunday,13
,279.27,0.0,0.0,90,Clouds,October,Sunday,14
,279.27,0.0,0.0,90,Clouds,October,Sunday,15
,279.44,0.0,0.0,90,Clouds,October,Sunday,16
,279.32,0.0,0.0,90,Clouds,October,Sunday,17
,279.27,0.0,0.0,90,Clouds,October,Sunday,18
,278.11,0.0,0.0,90,Clouds,October,Sunday,19
,276.79,0.0,0.0,75,Clouds,October,Sunday,20
,275.73,0.0,0.0,90,Clouds,October,Sunday,21
,274.88,0.0,0.0,75,Clouds,October,Sunday,22
,273.92,0.0,0.0,20,Clouds,October,Sunday,23
Columbus Day,273.08,0.0,0.0,20,Clouds,October,Monday,0
,272.62,0.0,0.0,20,Clouds,October,Monday,1
,271.78,0.0,0.0,1,Clear,October,Monday,2
,271.05,0.0,0.0,1,Clear,October,Monday,3
,270.63,0.0,0.0,1,Clear,October,Monday,4
,270.33,0.0,0.0,1,Clear,October,Monday,5
,269.61,0.0,0.0,20,Clouds,October,Monday,6
,270.01,0.0,0.0,20,Clouds,October,Monday,7
,271.23,0.0,0.0,20,Clouds,October,Monday,8
,273.71,0.0,0.0,20,Clouds,October,Monday,9
,276.77,0.0,0.0,20,Clouds,October,Monday,10
,279.47,0.0,0.0,20,Clouds,October,Monday,11
,279.84,0.0,0.0,1,Clear,October,Monday,12
,282.34,0.0,0.0,40,Clouds,October,Monday,13
,282.94,0.0,0.0,40,Clouds,October,Monday,14
,283.48,0.0,0.0,1,Clear,October,Monday,15
,284.33,0.0,0.0,1,Clear,October,Monday,16
,284.48,0.0,0.0,40,Clouds,October,Monday,17
,284.23,0.0,0.0,40,Clouds,October,Monday,18
,281.99,0.0,0.0,20,Clouds,October,Monday,19
,279.81,0.0,0.0,1,Clear,October,Monday,20
,279.35,0.0,0.0,1,Clear,October,Monday,21
,278.9,0.0,0.0,1,Clear,October,Monday,22
,278.46,0.0,0.0,1,Clear,October,Monday,23
,277.78,0.0,0.0,1,Clear,October,Tuesday,0
,277.27,0.0,0.0,1,Clear,October,Tuesday,1
,277.47,0.0,0.0,1,Clear,October,Tuesday,2
,276.97,0.0,0.0,20,Clouds,October,Tuesday,4
,276.52,0.0,0.0,40,Clouds,October,Tuesday,5
,276.6,0.0,0.0,40,Clouds,October,Tuesday,6
,277.31,0.0,0.0,75,Clouds,October,Tuesday,7
,278.38,0.0,0.0,90,Clouds,October,Tuesday,8
,279.35,0.0,0.0,90,Clouds,October,Tuesday,9
,281.37,0.0,0.0,90,Clouds,October,Tuesday,10
,283.11,0.0,0.0,90,Clouds,October,Tuesday,11
,284.08,0.0,0.0,75,Clouds,October,Tuesday,12
,285.14,0.0,0.0,75,Clouds,October,Tuesday,13
,286.35,0.0,0.0,90,Clouds,October,Tuesday,14
,287.23,0.0,0.0,100,Rain,October,Tuesday,15
,288.53,0.0,0.0,90,Clouds,October,Tuesday,16
,290.37,0.0,0.0,90,Clouds,October,Tuesday,17
,290.13,0.0,0.0,90,Clouds,October,Tuesday,18
,288.86,0.0,0.0,75,Clouds,October,Tuesday,19
,287.36,0.0,0.0,90,Clouds,October,Tuesday,20
,285.11,0.0,0.0,90,Clouds,October,Tuesday,21
,283.46,0.0,0.0,90,Clouds,October,Tuesday,22
,282.45,0.0,0.0,90,Clouds,October,Tuesday,23
,281.88,0.0,0.0,90,Clouds,October,Wednesday,0
,281.78,0.0,0.0,90,Clouds,October,Wednesday,1
,281.09,0.0,0.0,75,Clouds,October,Wednesday,2
,281.17,0.0,0.0,90,Clouds,October,Wednesday,3
,281.25,0.0,0.0,92,Clear,October,Wednesday,6
,281.25,0.0,0.0,99,Rain,October,Wednesday,7
,281.25,0.0,0.0,99,Drizzle,October,Wednesday,7
,280.1,0.0,0.0,99,Rain,October,Wednesday,8
,280.1,0.0,0.0,99,Drizzle,October,Wednesday,8
,279.61,0.0,0.0,99,Rain,October,Wednesday,9
,279.61,0.0,0.0,99,Drizzle,October,Wednesday,9
,279.67,0.0,0.0,99,Clear,October,Wednesday,10
,280.19,0.0,0.0,1,Clear,October,Wednesday,11
,282.09,0.0,0.0,75,Clouds,October,Wednesday,12
,282.26,0.0,0.0,75,Clouds,October,Wednesday,13
,282.05,0.0,0.0,90,Clouds,October,Wednesday,14
,281.59,0.0,0.0,90,Clouds,October,Wednesday,15
,281.23,0.0,0.0,81,Clear,October,Wednesday,16
,282.6,0.0,0.0,81,Clear,October,Wednesday,18
,282.6,0.0,0.0,81,Clear,October,Wednesday,19
,282.6,0.0,0.0,81,Clear,October,Wednesday,20
,282.6,0.0,0.0,81,Clear,October,Wednesday,21
,282.6,0.0,0.0,81,Clear,October,Wednesday,22
,282.6,0.0,0.0,81,Clear,October,Wednesday,23
,273.9,0.0,0.0,1,Clear,October,Thursday,1
,274.4,0.0,0.0,75,Clouds,October,Thursday,3
,274.05,0.0,0.0,75,Clouds,October,Thursday,4
,273.71,0.0,0.0,40,Clouds,October,Thursday,5
,272.66,0.0,0.0,1,Clear,October,Thursday,6
,272.65,0.0,0.0,1,Clear,October,Thursday,7
,272.52,0.0,0.0,1,Clear,October,Thursday,8
,275.19,0.0,0.0,20,Clouds,October,Thursday,9
,275.34,0.0,0.0,1,Clear,October,Thursday,10
,284.1,0.0,0.0,50,Clear,October,Thursday,14
,284.1,0.0,0.0,50,Clear,October,Thursday,15
,283.78,0.0,0.0,75,Clouds,October,Thursday,16
,283.52,0.0,0.0,75,Clouds,October,Thursday,17
,283.32,0.0,0.0,90,Clouds,October,Thursday,18
,282.06,0.0,0.0,90,Clouds,October,Thursday,19
,281.95,0.0,0.0,90,Clouds,October,Thursday,20
,281.81,0.0,0.0,90,Clouds,October,Thursday,21
,282.16,0.0,0.0,90,Clouds,October,Thursday,22
,282.53,0.0,0.0,90,Clouds,October,Thursday,23
,283.91,0.0,0.0,90,Clouds,October,Friday,0
,284.64,0.0,0.0,90,Clouds,October,Friday,1
,284.61,0.0,0.0,90,Clouds,October,Friday,2
,283.18,0.0,0.0,72,Drizzle,October,Friday,3
,282.26,0.0,0.0,72,Rain,October,Friday,4
,280.77,0.0,0.0,72,Drizzle,October,Friday,5
,278.53,0.0,0.0,75,Clouds,October,Friday,6
,277.64,0.0,0.0,75,Clouds,October,Friday,7
,277.9,0.0,0.0,90,Clouds,October,Friday,8
,278.18,0.0,0.0,90,Clouds,October,Friday,9
,279.29,0.0,0.0,75,Clouds,October,Friday,10
,280.45,0.0,0.0,75,Clouds,October,Friday,11
,280.95,0.0,0.0,40,Clouds,October,Friday,12
,281.74,0.0,0.0,40,Clouds,October,Friday,13
,281.84,0.0,0.0,75,Clouds,October,Friday,14
,282.45,0.0,0.0,75,Clouds,October,Friday,15
,282.2,0.0,0.0,75,Clouds,October,Friday,16
,281.54,0.0,0.0,40,Clouds,October,Friday,17
,280.21,0.0,0.0,20,Clouds,October,Friday,18
,282.2,0.0,0.0,56,Clear,October,Friday,23
,272.58,0.0,0.0,1,Clear,October,Saturday,0
,272.06,0.0,0.0,1,Clear,October,Saturday,1
,270.99,0.0,0.0,1,Clear,October,Saturday,2
,270.29,0.0,0.0,20,Clouds,October,Saturday,3
,269.48,0.0,0.0,1,Clear,October,Saturday,4
,269.27,0.0,0.0,1,Clear,October,Saturday,5
,268.91,0.0,0.0,1,Clear,October,Saturday,6
,268.98,0.0,0.0,75,Clouds,October,Saturday,7
,269.23,0.0,0.0,40,Clouds,October,Saturday,8
,272.61,0.0,0.0,40,Clouds,October,Saturday,9
,276.78,0.0,0.0,20,Clouds,October,Saturday,10
,279.22,0.0,0.0,1,Clear,October,Saturday,11
,280.35,0.0,0.0,1,Clear,October,Saturday,12
,281.81,0.0,0.0,1,Clear,October,Saturday,13
,283.05,0.0,0.0,1,Clear,October,Saturday,14
,283.96,0.0,0.0,1,Clear,October,Saturday,15
,284.53,0.0,0.0,1,Clear,October,Saturday,16
,284.44,0.0,0.0,1,Clear,October,Saturday,17
,283.64,0.0,0.0,1,Clear,October,Saturday,18
,281.85,0.0,0.0,20,Clouds,October,Saturday,19
,281.38,0.0,0.0,1,Clear,October,Saturday,20
,281.84,0.0,0.0,75,Clouds,October,Saturday,21
,282.23,0.0,0.0,90,Clouds,October,Saturday,22
,282.18,0.0,0.0,90,Clouds,October,Saturday,23
,282.49,0.0,0.0,90,Clouds,October,Sunday,0
,282.54,0.0,0.0,90,Clouds,October,Sunday,1
,282.58,0.0,0.0,90,Clouds,October,Sunday,2
,282.23,0.0,0.0,90,Clouds,October,Sunday,3
,282.08,0.0,0.0,90,Clouds,October,Sunday,4
,282.23,0.0,0.0,90,Clouds,October,Sunday,5
,282.24,0.0,0.0,90,Clouds,October,Sunday,6
,282.24,0.0,0.0,90,Clouds,October,Sunday,7
,282.24,0.0,0.0,57,Mist,October,Sunday,8
,282.43,0.0,0.0,57,Drizzle,October,Sunday,9
,282.43,0.0,0.0,57,Mist,October,Sunday,9
,282.43,0.0,0.0,57,Haze,October,Sunday,9
,282.33,0.0,0.0,57,Drizzle,October,Sunday,10
,282.33,0.0,0.0,57,Mist,October,Sunday,10
,282.82,0.0,0.0,57,Drizzle,October,Sunday,11
,282.82,0.0,0.0,57,Mist,October,Sunday,11
,283.33,0.0,0.0,57,Mist,October,Sunday,12
,283.33,0.0,0.0,57,Rain,October,Sunday,12
,283.33,0.0,0.0,57,Drizzle,October,Sunday,12
,283.75,0.0,0.0,93,Rain,October,Sunday,13
,283.75,0.0,0.0,93,Mist,October,Sunday,13
,283.75,0.0,0.0,93,Drizzle,October,Sunday,13
,284.09,0.0,0.0,93,Mist,October,Sunday,14
,284.09,0.0,0.0,93,Rain,October,Sunday,14
,284.09,0.0,0.0,93,Drizzle,October,Sunday,14
,284.55,0.0,0.0,93,Mist,October,Sunday,15
,284.55,0.0,0.0,93,Rain,October,Sunday,15
,284.68,0.0,0.0,93,Mist,October,Sunday,16
,284.64,0.0,0.0,93,Rain,October,Sunday,17
,284.64,0.0,0.0,93,Mist,October,Sunday,17
,284.4,0.0,0.0,93,Mist,October,Sunday,18
,284.17,0.0,0.0,93,Mist,October,Sunday,19
,284.03,0.0,0.0,93,Mist,October,Sunday,20
,283.58,0.0,0.0,93,Mist,October,Sunday,21
,283.04,0.0,0.0,93,Mist,October,Sunday,22
,281.95,0.0,0.0,93,Mist,October,Sunday,23
,281.95,0.0,0.0,93,Fog,October,Sunday,23
,281.61,0.0,0.0,93,Mist,October,Monday,0
,281.61,0.0,0.0,93,Fog,October,Monday,0
,281.57,0.0,0.0,85,Fog,October,Monday,1
,281.42,0.0,0.0,85,Fog,October,Monday,2
,281.29,0.0,0.0,85,Mist,October,Monday,3
,281.29,0.0,0.0,85,Fog,October,Monday,3
,281.02,0.0,0.0,85,Mist,October,Monday,4
,281.02,0.0,0.0,85,Fog,October,Monday,4
,280.82,0.0,0.0,85,Mist,October,Monday,5
,280.82,0.0,0.0,85,Fog,October,Monday,5
,280.39,0.0,0.0,85,Mist,October,Monday,6
,280.19,0.0,0.0,100,Mist,October,Monday,7
,279.82,0.0,0.0,100,Mist,October,Monday,8
,279.75,0.0,0.0,100,Mist,October,Monday,9
,280.07,0.0,0.0,100,Mist,October,Monday,10
,280.32,0.0,0.0,90,Clouds,October,Monday,11
,281.72,0.0,0.0,100,Clear,October,Monday,12
,284.01,0.0,0.0,40,Clouds,October,Monday,13
,285.88,0.0,0.0,1,Clear,October,Monday,14
,286.87,0.0,0.0,1,Clear,October,Monday,15
,287.6,0.0,0.0,20,Clouds,October,Monday,16
,287.27,0.0,0.0,20,Clouds,October,Monday,17
,286.18,0.0,0.0,20,Clouds,October,Monday,18
,285.2,0.0,0.0,75,Clouds,October,Monday,19
,284.68,0.0,0.0,75,Clouds,October,Monday,20
,284.49,0.0,0.0,90,Clouds,October,Monday,21
,283.54,0.0,0.0,20,Clouds,October,Monday,22
,282.33,0.0,0.0,75,Clouds,October,Monday,23
,281.21,0.0,0.0,20,Clouds,October,Tuesday,0
,279.87,0.0,0.0,1,Clear,October,Tuesday,1
,278.93,0.0,0.0,1,Clear,October,Tuesday,2
,277.91,0.0,0.0,1,Clear,October,Tuesday,3
,277.21,0.0,0.0,1,Clear,October,Tuesday,4
,276.61,0.0,0.0,1,Clear,October,Tuesday,5
,276.11,0.0,0.0,1,Clear,October,Tuesday,6
,274.81,0.0,0.0,20,Clouds,October,Tuesday,7
,274.99,0.0,0.0,20,Clouds,October,Tuesday,8
,277.91,0.0,0.0,20,Clouds,October,Tuesday,9
,280.71,0.0,0.0,20,Clouds,October,Tuesday,10
,283.85,0.0,0.0,20,Clouds,October,Tuesday,11
,286.01,0.0,0.0,40,Clouds,October,Tuesday,12
,286.31,0.0,0.0,1,Clear,October,Tuesday,13
,288.15,0.0,0.0,75,Clouds,October,Tuesday,14
,289.15,0.0,0.0,75,Clouds,October,Tuesday,15
,288.99,0.0,0.0,75,Clouds,October,Tuesday,16
,288.86,0.0,0.0,75,Clouds,October,Tuesday,17
,288.16,0.0,0.0,90,Clouds,October,Tuesday,18
,287.28,0.0,0.0,68,Rain,October,Tuesday,19
,287.04,0.0,0.0,90,Clouds,October,Tuesday,20
,286.9,0.0,0.0,90,Clouds,October,Tuesday,21
,287.09,0.0,0.0,90,Clouds,October,Tuesday,22
,287.09,0.0,0.0,90,Clouds,October,Tuesday,23
,286.89,0.0,0.0,75,Clouds,October,Wednesday,0
,286.93,0.0,0.0,75,Clouds,October,Wednesday,1
,286.93,0.0,0.0,90,Clouds,October,Wednesday,2
,287.07,0.0,0.0,90,Clouds,October,Wednesday,3
,286.56,0.0,0.0,75,Clouds,October,Wednesday,4
,285.91,0.0,0.0,90,Clouds,October,Wednesday,5
,285.29,0.0,0.0,90,Clouds,October,Wednesday,6
,284.92,0.0,0.0,75,Clouds,October,Wednesday,7
,285.35,0.0,0.0,75,Clouds,October,Wednesday,8
,285.72,0.0,0.0,100,Rain,October,Wednesday,9
,285.72,0.0,0.0,100,Rain,October,Wednesday,9
,287.09,0.0,0.0,75,Clouds,October,Wednesday,10
,288.31,0.0,0.0,75,Clouds,October,Wednesday,11
,288.61,0.0,0.0,1,Clear,October,Wednesday,12
,290.32,0.0,0.0,1,Clear,October,Wednesday,13
,291.36,0.0,0.0,1,Clear,October,Wednesday,14
,292.01,0.0,0.0,1,Clear,October,Wednesday,15
,292.61,0.0,0.0,1,Clear,October,Wednesday,16
,292.65,0.0,0.0,1,Clear,October,Wednesday,17
,290.52,0.0,0.0,40,Clouds,October,Wednesday,18
,288.35,0.0,0.0,40,Clouds,October,Wednesday,19
,286.72,0.0,0.0,40,Clouds,October,Wednesday,20
,285.49,0.0,0.0,40,Clouds,October,Wednesday,21
,284.22,0.0,0.0,20,Clouds,October,Wednesday,22
,283.8,0.0,0.0,20,Clouds,October,Wednesday,23
,283.72,0.0,0.0,20,Clouds,October,Thursday,0
,282.8,0.0,0.0,40,Clouds,October,Thursday,1
,282.32,0.0,0.0,99,Mist,October,Thursday,2
,282.38,0.0,0.0,99,Mist,October,Thursday,3
,282.76,0.0,0.0,90,Clouds,October,Thursday,4
,282.88,0.0,0.0,99,Mist,October,Thursday,5
,284.18,0.0,0.0,75,Clouds,October,Thursday,6
,284.69,0.0,0.0,90,Clouds,October,Thursday,7
,285.0,0.0,0.0,90,Clouds,October,Thursday,8
,286.9,0.0,0.0,99,Rain,October,Thursday,9
,288.35,0.0,0.0,90,Clouds,October,Thursday,10
,289.59,0.0,0.0,90,Clouds,October,Thursday,11
,288.27,0.0,0.0,99,Rain,October,Thursday,12
,286.41,0.0,0.0,90,Clouds,October,Thursday,13
,285.96,0.0,0.0,90,Clouds,October,Thursday,14
,287.04,0.0,0.0,90,Clouds,October,Thursday,15
,287.18,0.0,0.0,90,Clouds,October,Thursday,16
,286.94,0.0,0.0,90,Clouds,October,Thursday,17
,286.01,0.0,0.0,90,Clouds,October,Thursday,18
,284.67,0.0,0.0,100,Drizzle,October,Thursday,19
,283.44,0.0,0.0,100,Rain,October,Thursday,20
,282.51,0.0,0.0,100,Drizzle,October,Thursday,21
,281.9,0.0,0.0,90,Clouds,October,Thursday,22
,281.85,0.0,0.0,90,Clouds,October,Thursday,23
,281.28,0.0,0.0,90,Clouds,October,Friday,0
,280.97,0.0,0.0,87,Mist,October,Friday,1
,280.44,0.0,0.0,87,Drizzle,October,Friday,2
,280.44,0.0,0.0,87,Mist,October,Friday,2
,280.02,0.0,0.0,87,Mist,October,Friday,3
,279.79,0.0,0.0,87,Drizzle,October,Friday,4
,279.79,0.0,0.0,87,Mist,October,Friday,4
,279.79,0.0,0.0,87,Rain,October,Friday,4
,279.79,0.0,0.0,87,Drizzle,October,Friday,4
,279.74,0.0,0.0,87,Mist,October,Friday,5
,279.74,0.0,0.0,87,Rain,October,Friday,5
,279.65,0.0,0.0,87,Drizzle,October,Friday,6
,279.65,0.0,0.0,87,Mist,October,Friday,6
,279.65,0.0,0.0,87,Rain,October,Friday,6
,279.45,0.0,0.0,91,Mist,October,Friday,7
,279.45,0.0,0.0,91,Rain,October,Friday,7
,279.22,0.0,0.0,91,Drizzle,October,Friday,8
,279.22,0.0,0.0,91,Mist,October,Friday,8
,279.22,0.0,0.0,91,Rain,October,Friday,8
,279.35,0.0,0.0,91,Rain,October,Friday,9
,279.35,0.0,0.0,91,Mist,October,Friday,9
,279.92,0.0,0.0,91,Mist,October,Friday,10
,280.44,0.0,0.0,90,Clouds,October,Friday,11
,281.0,0.0,0.0,90,Clouds,October,Friday,12
,281.51,0.0,0.0,90,Clouds,October,Friday,13
,281.93,0.0,0.0,92,Mist,October,Friday,14
,281.94,0.0,0.0,92,Mist,October,Friday,15
,281.94,0.0,0.0,92,Drizzle,October,Friday,15
,282.27,0.0,0.0,92,Rain,October,Friday,16
,282.41,0.0,0.0,92,Rain,October,Friday,17
,282.21,0.0,0.0,90,Clouds,October,Friday,18
,281.69,0.0,0.0,75,Clouds,October,Friday,19
,281.26,0.0,0.0,90,Clouds,October,Friday,20
,280.66,0.0,0.0,92,Mist,October,Friday,21
,280.43,0.0,0.0,92,Drizzle,October,Friday,22
,280.43,0.0,0.0,92,Drizzle,October,Friday,22
,280.1,0.0,0.0,92,Mist,October,Friday,23
,280.1,0.0,0.0,92,Rain,October,Friday,23
,280.1,0.0,0.0,92,Drizzle,October,Friday,23
,280.06,0.0,0.0,92,Rain,October,Saturday,0
,280.06,0.0,0.0,92,Rain,October,Saturday,0
,280.28,0.0,0.0,96,Drizzle,October,Saturday,1
,280.28,0.0,0.0,96,Rain,October,Saturday,1
,280.38,0.0,0.0,96,Drizzle,October,Saturday,2
,280.62,0.0,0.0,96,Drizzle,October,Saturday,3
,280.62,0.0,0.0,96,Mist,October,Saturday,3
,280.91,0.0,0.0,96,Mist,October,Saturday,4
,280.91,0.0,0.0,96,Drizzle,October,Saturday,4
,280.91,0.0,0.0,96,Rain,October,Saturday,4
,280.96,0.0,0.0,96,Rain,October,Saturday,5
,280.96,0.0,0.0,96,Mist,October,Saturday,5
,280.96,0.0,0.0,96,Drizzle,October,Saturday,5
,281.13,0.0,0.0,96,Rain,October,Saturday,6
,281.13,0.0,0.0,96,Mist,October,Saturday,6
,281.13,0.0,0.0,96,Drizzle,October,Saturday,6
,281.28,0.0,0.0,100,Rain,October,Saturday,7
,281.28,0.0,0.0,100,Mist,October,Saturday,7
,281.28,0.0,0.0,100,Drizzle,October,Saturday,7
,281.19,0.0,0.0,100,Rain,October,Saturday,8
,281.19,0.0,0.0,100,Mist,October,Saturday,8
,281.19,0.0,0.0,100,Drizzle,October,Saturday,8
,281.7,0.0,0.0,100,Rain,October,Saturday,9
,281.7,0.0,0.0,100,Drizzle,October,Saturday,9
,281.7,0.0,0.0,100,Mist,October,Saturday,9
,281.7,0.0,0.0,100,Drizzle,October,Saturday,9
,282.02,0.0,0.0,100,Rain,October,Saturday,10
,282.02,0.0,0.0,100,Drizzle,October,Saturday,10
,282.02,0.0,0.0,100,Mist,October,Saturday,10
,282.02,0.0,0.0,100,Rain,October,Saturday,10
,282.35,0.0,0.0,100,Rain,October,Saturday,11
,282.35,0.0,0.0,100,Mist,October,Saturday,11
,282.35,0.0,0.0,100,Drizzle,October,Saturday,11
,282.71,0.0,0.0,100,Rain,October,Saturday,12
,282.71,0.0,0.0,100,Mist,October,Saturday,12
,282.71,0.0,0.0,100,Rain,October,Saturday,12
,282.71,0.0,0.0,100,Rain,October,Saturday,12
,283.31,0.0,0.0,48,Rain,October,Saturday,13
,283.79,0.0,0.0,90,Clouds,October,Saturday,14
,284.2,0.0,0.0,75,Clouds,October,Saturday,15
,284.32,0.0,0.0,90,Clouds,October,Saturday,16
,284.13,0.0,0.0,75,Clouds,October,Saturday,17
,283.14,0.0,0.0,40,Clouds,October,Saturday,18
,281.4,0.0,0.0,40,Clouds,October,Saturday,19
,280.47,0.0,0.0,20,Clouds,October,Saturday,20
,279.52,0.0,0.0,20,Clouds,October,Saturday,21
,278.85,0.0,0.0,48,Mist,October,Saturday,22
,278.12,0.0,0.0,48,Fog,October,Saturday,23
,277.94,0.0,0.0,48,Mist,October,Sunday,0
